Local Government Area,Median_household_income,Employment_rate,Industrial_activity,Gen_expenditure,Energy_spend_ratio,Population_density,Household_count,Building_type_ID,Building_type_GD,Grid_supply_reliability,Road_accessibility,Safety,Solar_panel_usage,Solar_panel_adoption,Emmission_Reduction,Aggregate_score
Agege,0.14285714285714285,0.8505892255892256,0.4164743234091452,0.04726246102979475,0.3303886925795053,0.5879019326253695,0.10256410256410256,0.0,0.0,1.0,0.5,1.0,0.0,0.40929021561020484,0.016142371474435268,0
Ajeromi-Ifelodun,0.42857142857142855,0.6041666666666653,0.22426536064113986,0.05233519283174685,0.20141342756183744,1.0,0.15976331360946747,0.0,0.0,1.0,0.5,0.5,0.0,0.0028011443567028276,0.054860259156855204,0
Alimosho,0.42857142857142855,0.00021017234131988973,0.5713931219551294,0.017007239211009037,0.37809187279151946,0.14259310540246392,1.0,1.0,1.0,1.0,0.0,0.5,0.4636251541307028,0.949623135512536,1.0,0
Amuwo Odofin,0.42857142857142855,0.5939542483660141,0.5999105443316151,0.05686441765491836,0.13604240282685512,0.02694470025308956,0.29980276134122286,0.6666666666666666,1.0,1.0,0.5,1.0,0.43119266055045874,0.20845989935168002,0.49700162964861844,0
Apapa,0.14285714285714285,0.9142512077294684,0.7219501335707924,0.4117291825504065,0.3215547703180212,0.1301189456533639,0.05128205128205128,0.6666666666666666,1.0,0.5,0.5,0.5,0.5595238095238095,0.9514439860361793,0.23080127442184095,0
Badagry,0.0,0.38641975308641907,0.06912288512911842,0.0,0.4593639575971732,0.006845654007895364,0.10848126232741617,1.0,1.0,0.0,0.25,0.5,0.0,0.06934306569343071,0.8694327968310354,0
Epe,0.0,0.0,0.301741909513412,0.10043556045382833,1.0,0.0017709829277245768,0.08678500986193294,1.0,1.0,0.0,0.0,0.0,0.0,0.4095537724556884,0.3409948180836065,0
Eti Osa,1.0,0.7137096774193545,0.9995855516189539,0.3994549832796117,0.25706713780918733,0.03040938685351073,0.14792899408284024,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.8367162879263138,0.40604648465871984,0
Ibeju Lekki,0.14285714285714285,1.0,0.0,1.0,0.0,0.0,0.03944773175542406,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.5130525456771097,0.29728575003509544,0
Ifako-Ijaye,0.14285714285714285,0.5225146198830408,0.37907116456653533,0.04666460335313613,0.3303886925795053,0.16640155588900124,0.2583826429980276,0.6666666666666666,1.0,1.0,0.5,1.0,0.08047945205479452,0.0613271044624365,0.08310750187684252,0
Ikeja,0.42857142857142855,0.8129117259552028,0.5600726077128572,0.097627441063462,0.372791519434629,0.12455483929134924,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.5423076923076924,0.25239153103323214,0.16600137940295046,0
Ikorodu,0.42857142857142855,0.7938443670150996,0.5997050311665183,0.4375533127505227,0.1554770318021201,0.017890147538977726,0.2938856015779093,0.6666666666666666,1.0,1.0,0.5,0.5,0.6527777777777778,0.9586374695863745,0.3896492898516226,0
Kosofe,0.42857142857142855,0.7189583333333334,0.9177312728863504,0.1832297902214036,0.27208480565371024,0.10591765895376769,0.3057199211045365,0.6666666666666666,1.0,1.0,0.5,0.5,0.7032418952618454,0.7987207968166397,0.23969109918883783,0
Lagos Mainland,0.42857142857142855,0.7288194444444456,0.5297662341193505,0.07430193322412869,0.2031802120141343,0.309683734648798,0.09072978303747535,0.3333333333333333,0.5,1.0,0.5,1.0,0.3587786259541985,0.0,0.01514138880242189,0
Lagos-Island,0.42857142857142855,0.8304680038204387,0.7036554373818125,0.48291349935458544,0.127208480565371,0.8991119325609701,0.0,0.3333333333333333,0.5,0.5,0.5,0.5,0.13202247191011238,0.7911455294569273,0.0,0
Mushin,0.14285714285714285,0.5903846153846155,0.39403877585619446,0.07211280789292912,0.35335689045936397,0.9107682201943573,0.23668639053254437,0.3333333333333333,0.5,1.0,0.5,1.0,0.13031423290203328,0.02027049838956895,0.09507809495907568,0
Ojo,0.0,0.40833333333333327,0.26694088281296857,0.105417707759317,0.4178445229681979,0.04869237060554736,0.3333333333333333,1.0,1.0,0.0,0.5,0.5,0.06088082901554405,0.6874008251348781,0.7877565781041144,0
Oshodi-Isolo,0.42857142857142855,0.780864197530863,0.7792034323646078,0.4350546903897398,0.295053003533569,0.2606371674577057,0.5601577909270217,0.6666666666666666,1.0,1.0,0.5,0.5,0.3051948051948052,1.0,0.3526419228632987,0
SOMOLU,0.42857142857142855,0.8067420435510901,1.0,0.08253002498622361,0.18904593639575973,0.6795100495231226,0.07100591715976332,0.6666666666666666,1.0,1.0,1.0,0.5,0.567632850241546,0.27962640550248113,0.019404720487795946,0
Surulere,0.42857142857142855,0.6985849056603771,0.7767850480307635,0.37064911340424084,0.21201413427561838,0.45544528950740915,0.23274161735700197,0.3333333333333333,0.5,1.0,0.5,0.5,0.3500931098696462,0.8628141138455326,0.07656449319148677,0
