Local Government Area,KM2,Population,Population density per KM2,HousholdCount,Household population density per KM2,Annual Fuel Consumed in Litres
Agege,17,1555834,91520,65000,3823.529412,24530000
Ajeromi-Ifelodun,13.9,2161609,155511,94000,6762.589928,49904000
Alimosho,137.8,3082900,22372,520000,3773.584906,669307000
Amuwo Odofin,179.1,790627,4414,165000,921.2730318,339664000
Apapa,38.5,786730,20435,39000,1012.987013,165208000
Badagry,443,572927,1293,68000,153.4988713,583739000
Epe,965,487405,505,57000,59.06735751,237424000
Eti Osa,299.1,1481211,4952,88000,294.2159813,280056000
Ibeju Lekki,653,149911,230,33000,50.53598775,208779000
Ifako-Ijaye,43,1120979,26069,144000,3348.837209,68416000
Ikeja,49.92,976997,19571,182000,3645.833333,122741000
Ikorodu,345,1037728,3008,162000,469.5652174,269310000
Kosofe,84.4,1407565,16677,168000,1990.521327,171034000
Lagos-Island,9.26,1294966,139845,13000,1403.887689,13951000
Lagos Mainland,19.62,948005,48318,59000,3007.135576,23874000
Mushin,14.05,1990255,141655,133000,9466.192171,76261000
Ojo,182,1417970,7791,182000,1000,530212000
Oshodi-Isolo,41.98,1708673,40702,297000,7074.797523,245057000
SOMOLU,14.6,1543875,105745,49000,3356.164384,26668000
Surulere,27.05,1919238,70952,131000,4842.883549,64128000
